ZIP Code,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,Land Area,Water Area,Latitude,Longitude
43451,43451,B5,G6350,S,63484186,157689,+41.3183010,-083.6174935
43452,43452,B5,G6350,S,121501421,13700682,+41.5157923,-082.9809454
43456,43456,B5,G6350,S,9389361,999166,+41.6468445,-082.8226641
43457,43457,B5,G6350,S,48004681,0,+41.2673301,-083.4274872
43458,43458,B5,G6350,S,2573816,39915,+41.5304461,-083.2133648
43460,43460,B5,G6350,S,7179340,795923,+41.6048168,-083.5610320
43462,43462,B5,G6350,S,66514557,74904,+41.2837850,-083.7228646
43463,43463,B5,G6350,S,19415,0,+41.5086650,-083.5080344
43464,43464,B5,G6350,S,86139720,12290475,+41.4048795,-082.9241092
43465,43465,B5,G6350,S,28492567,109085,+41.5654721,-083.5003020
43466,43466,B5,G6350,S,71873187,0,+41.2953588,-083.5148215
43467,43467,B5,G6350,S,898187,0,+41.2432028,-083.4838410
43468,43468,B5,G6350,S,1861424,0,+41.5978668,-083.3414931
97824,97824,B5,G6350,S,565896584,20851,+45.3543012,-117.7564700
97825,97825,B5,G6350,S,642331400,32070,+44.3851264,-119.4962730
97826,97826,B5,G6350,S,822671853,57985,+45.6642964,-119.2323162
97827,97827,B5,G6350,S,533093750,18202,+45.5754239,-117.8380496
97828,97828,B5,G6350,S,1906723277,91085,+45.7165633,-117.2219918
97830,97830,B5,G6350,S,1553156454,588851,+44.9665611,-120.1831619
97833,97833,B5,G6350,S,228151510,0,+44.9288884,-118.0148778
97834,97834,B5,G6350,S,540420827,640758,+44.9722752,-117.1611907
97835,97835,B5,G6350,S,487244265,0,+45.9100466,-118.7865520
97836,97836,B5,G6350,S,2399177756,1225618,+45.3211522,-119.4746198
97837,97837,B5,G6350,S,310545634,9485,+44.5566606,-118.0671060
97838,97838,B5,G6350,S,425979706,28240869,+45.8530040,-119.2872655
97839,97839,B5,G6350,S,518245376,0,+45.5912076,-119.5929846
97840,97840,B5,G6350,S,295309663,10770236,+44.8560993,-116.9412302
97841,97841,B5,G6350,S,49834318,0,+45.4651158,-117.9449249
97842,97842,B5,G6350,S,1797501814,5525089,+45.4235915,-116.6840285
97843,97843,B5,G6350,S,914513682,15135984,+45.5023217,-119.9028655
97844,97844,B5,G6350,S,107532178,19769932,+45.8841501,-119.5488363
97845,97845,B5,G6350,S,168393613,0,+44.4018235,-118.9030597
97846,97846,B5,G6350,S,1946414577,7503838,+45.4626986,-117.0395863
97848,97848,B5,G6350,S,489961858,53512,+44.7221766,-119.5805545
97850,97850,B5,G6350,S,749301593,1113672,+45.3035379,-118.1132779
97856,97856,B5,G6350,S,1117528729,18184,+44.8152119,-119.1252546
97857,97857,B5,G6350,S,697083629,1077064,+45.3592293,-117.5232400
97859,97859,B5,G6350,S,207533136,64805,+45.5267188,-118.4214554
97862,97862,B5,G6350,S,711973466,47030,+45.9220632,-118.3160627
97864,97864,B5,G6350,S,845601847,0,+44.8054470,-119.4360525
97865,97865,B5,G6350,S,989156846,29442,+44.4614657,-119.1800399
97867,97867,B5,G6350,S,352615124,922641,+45.0780372,-117.9934160
97868,97868,B5,G6350,S,1145586346,103091,+45.4092940,-118.8535816
97869,97869,B5,G6350,S,889699678,271461,+44.3975633,-118.6339795
97870,97870,B5,G6350,S,338750630,11587974,+44.7879893,-117.1865631
97873,97873,B5,G6350,S,197994462,0,+44.1320132,-119.0028841
97874,97874,B5,G6350,S,593335632,0,+44.7775389,-119.8677073
97875,97875,B5,G6350,S,162386815,143297,+45.8185492,-119.1328535
97876,97876,B5,G6350,S,163655484,0,+45.5164578,-118.0355249
97877,97877,B5,G6350,S,526131527,132899,+44.8171633,-118.5070548
97880,97880,B5,G6350,S,810706448,19696,+45.0886688,-118.8825062
97882,97882,B5,G6350,S,60984119,8236729,+45.8974306,-119.3660707
97883,97883,B5,G6350,S,693232303,448579,+45.1924234,-117.6341548
94118,94118,B5,G6350,S,5047738,59174,+37.7800933,-122.4626054
94121,94121,B5,G6350,S,7980032,61283,+37.7767691,-122.4947073
94122,94122,B5,G6350,S,6124845,0,+37.7587992,-122.4851269
94123,94123,B5,G6350,S,2646604,218721,+37.8009336,-122.4383664
94124,94124,B5,G6350,S,12759668,2806586,+37.7288947,-122.3827787
94127,94127,B5,G6350,S,4585722,9359,+37.7360266,-122.4572070
94128,94128,B5,G6350,S,9125856,2929,+37.6264115,-122.3857566
94129,94129,B5,G6350,S,5968393,14697,+37.7973402,-122.4644664
94130,94130,B5,G6350,S,2281287,0,+37.8206878,-122.3695372
94131,94131,B5,G6350,S,5379809,50540,+37.7459165,-122.4414731
94132,94132,B5,G6350,S,8054487,1299131,+37.7222142,-122.4840831
39531,39531,B5,G6350,S,17518403,2577823,+30.4039945,-088.9661326
42409,42409,B5,G6350,S,224115213,1545881,+37.5386369,-087.6929336
42410,42410,B5,G6350,S,6809191,294547,+37.2785392,-087.5117711
48755,48755,B5,G6350,S,131029849,20512556,+43.7915009,-083.2456200
42411,42411,B5,G6350,S,225208437,1473935,+37.1982925,-088.0108129
42413,42413,B5,G6350,S,135317646,917711,+37.4486563,-087.4670006
